Category,Item,Link to purchase,Comments,Quantity,Price per item (Dollars $),Total Price (Dollars $)
Computing,Arduino Nano Breakout Board,https://www.ebay.com.au/itm/132697921045?hash=item1ee5699615%3Ag%3Aw10AAOSwpLVcBpiL&amdata=enc%3AAQAHAAABAO0bYQQbPmaLFgVT6wErU3QE7q8vZlyOo1128PV1bJnIIyHIUixnCyfXAXZwD2YBGLLnRczs%2FLt3OQ4HiR4Q11wEjuMq32wKGgXnErkASPDgxOmhfFU%2FeoDLoGZvjrQDp0uviqVPKQmyYkhdbQTS3mmt4Xhwe8Sxv233v%2Fycet9Pi%2FMa7Ep85kmRNXkA9nzrorGltGWTkAcymA8%2BOPLfBy2mfpUmzu1ssWOtyY9TuHbXQva6hw7WVLW9GGiAfvx5KFlpU%2Bj1FtoAOrifNJ22r5zT38eB9VhO24zjuZkpy1GU%2FE0rFUF5Q0qJCwLFEhsmpMXyF2dqHU6mKGvYxXxE%2BZY%3D%7Ctkp%3ABk9SR7aAnvrkYQ, ,1,7.99 ,7.99 
Computing,GPIO Cable,https://core-electronics.com.au/40-pin-gpio-extension-cable-for-any-2x20-pin-raspberry-pi-150mm-6-long.html,To connect Pi to its breakout board,1,6.95 ,6.95 
Computing,RasbPi Cooling System,https://core-electronics.com.au/cooling-kit-for-raspberry-pi-4-1.html, ,1,8.30 ,8.30 
Power Supply and Management,DC to DC (Buck) converter 20A,https://www.amazon.com.au/1PZ-ABC-H10-Converter-Adjustable-1-2V-35V/dp/B097SXWN21/ref=sr_1_11?crid=UD4UK9TNM2Y6&keywords=buck+converter+20a+300w&qid=1663655330&s=electronics&sprefix=buck+converter+20a+300%2Celectronics%2C208&sr=1-11,"Adjustable, set to ~7V in Dingo",1,20.57 ,20.57 
Power Supply and Management,LiPo Battery,https://hobbyking.com/en_us/turnigy-nano-tech-4000mah-4s-45-90c-lipo-pack-xt-60.html#qa[bW9kZT03JnBhZ2U9MSZxdWVzdGlvbl9zZWFyY2hfY29udGVudD0=],Turnigy nano-tech 4000mAh 4S 45~90C Lipo Pack w/XT-90,1,64.66 ,64.66 
Power Supply and Management,DC to DC (buck) converter 3A,https://core-electronics.com.au/ubec-dc-dc-step-down-buck-converter-5v-at-3a-output.html,For fans,1,19.75 ,19.75 
Power Supply and Management,DC to DC (Buck) converter 4A,https://core-electronics.com.au/dc-dc-buck-converter-7-24v-to-5v-4a.html,For all components except servos and fans,1,8.90 ,8.90 
PCB Parts,PCB Manufacturing,https://greenpcb.com.au/product/pcb-prototype/,Cost estimated using GreenPCB quote system (2 boards),1,30.00 ,30.00 
PCB Parts,Reverse Polarity Protection Diode,https://www.digikey.com/en/products/detail/B160-13-F/B160-FDICT-ND/806561?curr=usd&utm_campaign=buynow&utm_medium=aggregator&utm_source=octopart, B160-13-F ,1,0.35 ,0.35 
PCB Parts,Terminal Blocks,https://www.digikey.com.au/en/products/detail/phoenix-contact/1935776/2513905,1935776,8,0.92 ,7.36 
PCB Parts,Male Connector (for peripherals),https://www.digikey.com.au/en/products/detail/jst-sales-america-inc/B2B-PH-K-S-LF-SN/926611?s=N4IgTCBcDaIEJjgWgAoAkkGkkGUAEAFADIBiAlATgHJkgC6AvkA, B2B-PH-K-S(LF)(SN) ,12,0.21 ,2.54 
PCB Parts,Female Connector (for peripherals),https://www.digikey.com.au/en/products/detail/jst-sales-america-inc/PHR-2/608607, PHR-2 ,12,0.10 ,1.24 
PCB Parts,Socket for Connectors,https://www.digikey.com.au/en/products/detail/jst-sales-america-inc/SPH-002T-P0-5S/527359, SPH-002T-P0.5S ,25,0.05 ,1.34 
PCB Parts,47k Resistor,https://www.digikey.com.au/en/products/detail/te-connectivity-passive-product/CRGCQ1206F47K/8576432?s=N4IgTCBcDaIMICUDicCKBGMAGAbAMQBYB2AaRAF0BfIA, CRGCQ1206F47K ,1,0.16 ,0.16 
PCB Parts,10k resistor,https://www.digikey.com.au/en/products/detail/te-connectivity-passive-product/CRGCQ0805F10K/8576363?s=N4IgTCBcDaIMICUDicCKAGAHOgrAMQEZ0BpEAXQF8g, CRGCQ0805F10K ,1,0.16 ,0.16 
Electrical,Emergency Stop Switch,https://au.mouser.com/ProductDetail/Shin-Chin/R13-930S-01-BR?qs=W%2FMpXkg%252BdQ4sW1BEynCGwA%3D%3D,21A at 14VDC rated,1,19.27 ,19.27 
Electrical,On/off Switch,https://au.mouser.com/ProductDetail/ZF/CRE22F2FBBNE?qs=4EnmSMTL3HO0CsCQiVQQXQ%3D%3D,20A at 14VDC rated,1,2.76 ,2.76 
Electrical,LCD Screen,https://core-electronics.com.au/147inch-lcd-display-module-rounded-corners-172x320-resolution-spi-interface.html,1.47 inch,1,19.95 ,19.95 
Electrical,XT60 Connector,https://core-electronics.com.au/xt60-connector-male-female-pair-yellow.html,To connect LiPo to the robot,1,3.25 ,3.25 
Electrical,Servo Driver PCA9685 ,https://core-electronics.com.au/adafruit-16-channel-12-bit-pwm-servo-driver-i2c-interface-pca9685.html?gclid=CjwKCAjwx_eiBhBGEiwA15gLNyrjVgwtcARM70AoWVlYpniFX7OVaV9Z7w1eB-bvePYdNC6ClqYsXRoC4JAQAvD_BwE,"To control servo motors, via I2C interface",1,30.06 ,30.06 
Electrical,Capacitor,https://www.jaycar.com.au/2200uf-16vdc-electrolytic-rb-capacitor/p/RE6238,"2200uF 16VDC Electrolytic RB Capacitor ,For servo board",1,1.15 ,1.15 
Electrical,Fan,https://au.mouser.com/ProductDetail/Delta-Electronics/AFB0605MC?qs=%2FW4LtXOBxKtFoJ8jJfKvRw%3D%3D," 60x60x13mm dimensions, 5V",2,21.42 ,42.84 
Electrical,IMU,https://core-electronics.com.au/adafruit-9-dof-absolute-orientation-imu-fusion-breakout-bno055-stemma-qt-qwiic.html,Integrated Measuring Unit,1,57.80 ,57.80 
Electrical,Digital Voltmeter,https://www.aliexpress.com/item/1005005222500235.html?spm=a2g0o.productlist.main.81.39872af64VrD7z&algo_pvid=0b74f278-ea4d-4b4e-95a2-0223afd536d9&algo_exp_id=0b74f278-ea4d-4b4e-95a2-0223afd536d9-41&pdp_npi=3%40dis%21AUD%214.85%212.53%21%21%21%21%21%4021224e9b16844922554382064d07d5%2112000032262732089%21sea%21AU%213891807975&curPageLogUid=8XOdkFbe7xSW,"DC 2.5-30V, used to measure battery voltage",1,1.73 ,1.73 
Misc,32GB MicroSD card,https://core-electronics.com.au/microsd-memory-card-32gb-class-10.html,32GB is maximum Pi supports,1,19.00 ,19.00 
Misc,[OPTIONAL] PS4 Controller,https://www.jbhifi.com.au/products/ps4-playstation-4-dualshock-4-wireless-controller-black,"Lab already has controllers and the robot can be keyboard controlled, so not counted",1,79.00 ,0.00 
"Electrical: AS THE FOLLOWING ITEMS ARE SOLD IN MUCH LARGER QUANTITIES THAN NEEDED, AND ARE OFTEN ALREADY AVAILABLE TO THE BUILDER, THEIR COST HAS BEEN REDUCED TO THE AMOUNT ACTUALLY NEEDED TO BUILD THE QUADRUPED",Power Delivery Wire,https://au.element14.com/pro-power/pp001190/tri-rated-wire-4mm2-black-100m/dp/2501429,"Minimum 12AWG, for wires expected to carry current above 2A and/or voltage above 5V",0.002,187.29 ,0.37 
"Electrical: AS THE FOLLOWING ITEMS ARE SOLD IN MUCH LARGER QUANTITIES THAN NEEDED, AND ARE OFTEN ALREADY AVAILABLE TO THE BUILDER, THEIR COST HAS BEEN REDUCED TO THE AMOUNT ACTUALLY NEEDED TO BUILD THE QUADRUPED",Connection Wire,https://www.jaycar.com.au/red-light-duty-hook-up-wire-25m/p/WH3000,"22-30AWG, recommend solid core, used for all other wires",0.05,7.95 ,0.40 
"Electrical: AS THE FOLLOWING ITEMS ARE SOLD IN MUCH LARGER QUANTITIES THAN NEEDED, AND ARE OFTEN ALREADY AVAILABLE TO THE BUILDER, THEIR COST HAS BEEN REDUCED TO THE AMOUNT ACTUALLY NEEDED TO BUILD THE QUADRUPED",Ferrules,https://www.digikey.com.au/en/products/detail/panduit-corp/FSD80-8-KD6/5775775,"Optional, if used need approx 20 across robot",20,0.24 ,4.84 
"Electrical: AS THE FOLLOWING ITEMS ARE SOLD IN MUCH LARGER QUANTITIES THAN NEEDED, AND ARE OFTEN ALREADY AVAILABLE TO THE BUILDER, THEIR COST HAS BEEN REDUCED TO THE AMOUNT ACTUALLY NEEDED TO BUILD THE QUADRUPED",Heat Shrink,https://www.digikey.com.au/en/products/detail/qualtek/Q5-3X-3-16-01-QB48IN-25/754970,"Only small amount required, for covering exposed solid-core wires",0.1,3.00 ,0.30 
"Electrical: AS THE FOLLOWING ITEMS ARE SOLD IN MUCH LARGER QUANTITIES THAN NEEDED, AND ARE OFTEN ALREADY AVAILABLE TO THE BUILDER, THEIR COST HAS BEEN REDUCED TO THE AMOUNT ACTUALLY NEEDED TO BUILD THE QUADRUPED",100k resistors,https://www.digikey.com.au/en/products/detail/te-connectivity-passive-product/RR03J100KTB/2385197,For dividing the voltage at the buck converter so that it is readable by the nano,2,0.75 ,1.50 
"Body Construction: AS THE FOLLOWING ITEMS ARE SOLD IN MUCH LARGER QUANTITIES THAN NEEDED, AND ARE OFTEN ALREADY AVAILABLE TO THE BUILDER, THEIR COST HAS BEEN REDUCED TO THE AMOUNT ACTUALLY NEEDED TO BUILD THE ",M3 Nuts,https://www.aliexpress.com/item/1005003198605418.html?spm=a2g0o.productlist.main.17.700f4bb1143fKr&algo_pvid=07a4f066-dd08-4fa5-946d-da04d32c02ec&algo_exp_id=07a4f066-dd08-4fa5-946d-da04d32c02ec-8&pdp_npi=3%40dis%21AUD%2176.29%2135.86%21%21%21%21%21%4021021a7216850191404043213d0744%2112000024621325864%21sea%21AU%213891807975&curPageLogUid=B4waXwyGXVEg,Included in below,1,1.74 ,1.74 
"Body Construction: AS THE FOLLOWING ITEMS ARE SOLD IN MUCH LARGER QUANTITIES THAN NEEDED, AND ARE OFTEN ALREADY AVAILABLE TO THE BUILDER, THEIR COST HAS BEEN REDUCED TO THE AMOUNT ACTUALLY NEEDED TO BUILD THE ",M3 Bolts,https://www.aliexpress.com/item/1005003198605418.html?spm=a2g0o.productlist.main.17.700f4bb1143fKr&algo_pvid=07a4f066-dd08-4fa5-946d-da04d32c02ec&algo_exp_id=07a4f066-dd08-4fa5-946d-da04d32c02ec-8&pdp_npi=3%40dis%21AUD%2176.29%2135.86%21%21%21%21%21%4021021a7216850191404043213d0744%2112000024621325864%21sea%21AU%213891807975&curPageLogUid=B4waXwyGXVEg,"Multiple lengths,use as required as per CAD",1,9.67 ,9.67 
"Body Construction: AS THE FOLLOWING ITEMS ARE SOLD IN MUCH LARGER QUANTITIES THAN NEEDED, AND ARE OFTEN ALREADY AVAILABLE TO THE BUILDER, THEIR COST HAS BEEN REDUCED TO THE AMOUNT ACTUALLY NEEDED TO BUILD THE ",Black ABS Filament,https://cubictech.com.au/collections/3d-print-filaments/products/esun-original-abs-3d-filament-1-75mm-1kg,Approx 500g required,0.5,24.95 ,12.48 
"Body Construction: AS THE FOLLOWING ITEMS ARE SOLD IN MUCH LARGER QUANTITIES THAN NEEDED, AND ARE OFTEN ALREADY AVAILABLE TO THE BUILDER, THEIR COST HAS BEEN REDUCED TO THE AMOUNT ACTUALLY NEEDED TO BUILD THE ",Orange ABS Filament,https://cubictech.com.au/collections/3d-print-filaments/products/esun-original-abs-3d-filament-1-75mm-1kg,Approx 500g required,0.5,24.95 ,12.48 
"Body Construction: AS THE FOLLOWING ITEMS ARE SOLD IN MUCH LARGER QUANTITIES THAN NEEDED, AND ARE OFTEN ALREADY AVAILABLE TO THE BUILDER, THEIR COST HAS BEEN REDUCED TO THE AMOUNT ACTUALLY NEEDED TO BUILD THE ",Black PLA Filament,https://cubictech.com.au/collections/pla-filament/products/pla-filament-1-75,Approx 750g required (includes 500g for the stand),0.75,25.95 ,19.46 
"Body Construction: AS THE FOLLOWING ITEMS ARE SOLD IN MUCH LARGER QUANTITIES THAN NEEDED, AND ARE OFTEN ALREADY AVAILABLE TO THE BUILDER, THEIR COST HAS BEEN REDUCED TO THE AMOUNT ACTUALLY NEEDED TO BUILD THE ",White TPU Filament,https://3dprintersonline.com.au/3dpo-tpu-filament-1-75mm-1kg/,"Approx 50g required, for feet",0.05,33.95 ,1.70 
TOTAL COST ,,,,,,"1,290.69 "
